"","year","period","periodName","value"
"1","2000","M12","December","4.7"
"2","2000","M11","November","4.7"
"3","2000","M10","October","4.8"
"4","2000","M09","September","4.9"
"5","2000","M08","August","5.0"
"6","2000","M07","July","5.1"
"7","2000","M06","June","5.1"
"8","2000","M05","May","5.1"
"9","2000","M04","April","5.0"
"10","2000","M03","March","5.0"
"11","2000","M02","February","5.0"
"12","2000","M01","January","5.0"
"13","1999","M12","December","5.0"
"14","1999","M11","November","5.0"
"15","1999","M10","October","5.1"
"16","1999","M09","September","5.1"
"17","1999","M08","August","5.2"
"18","1999","M07","July","5.2"
"19","1999","M06","June","5.3"
"20","1999","M05","May","5.3"
"21","1999","M04","April","5.4"
"22","1999","M03","March","5.4"
"23","1999","M02","February","5.5"
"24","1999","M01","January","5.6"
"25","1998","M12","December","5.7"
"26","1998","M11","November","5.9"
"27","1998","M10","October","6.0"
"28","1998","M09","September","6.0"
"29","1998","M08","August","6.0"
"30","1998","M07","July","6.0"
"31","1998","M06","June","6.0"
"32","1998","M05","May","6.0"
"33","1998","M04","April","5.9"
"34","1998","M03","March","6.0"
"35","1998","M02","February","6.0"
"36","1998","M01","January","6.0"
"37","1997","M12","December","6.0"
"38","1997","M11","November","6.1"
"39","1997","M10","October","6.1"
"40","1997","M09","September","6.2"
"41","1997","M08","August","6.3"
"42","1997","M07","July","6.3"
"43","1997","M06","June","6.4"
"44","1997","M05","May","6.5"
"45","1997","M04","April","6.6"
"46","1997","M03","March","6.7"
"47","1997","M02","February","6.8"
"48","1997","M01","January","6.9"
"49","1996","M12","December","6.9"
"50","1996","M11","November","7.0"
"51","1996","M10","October","7.0"
"52","1996","M09","September","7.0"
"53","1996","M08","August","7.1"
"54","1996","M07","July","7.2"
"55","1996","M06","June","7.4"
"56","1996","M05","May","7.5"
"57","1996","M04","April","7.6"
"58","1996","M03","March","7.7"
"59","1996","M02","February","7.7"
"60","1996","M01","January","7.8"
"61","1995","M12","December","7.8"
"62","1995","M11","November","7.8"
"63","1995","M10","October","7.9"
"64","1995","M09","September","7.9"
"65","1995","M08","August","8.0"
"66","1995","M07","July","8.0"
"67","1995","M06","June","8.0"
"68","1995","M05","May","8.0"
"69","1995","M04","April","7.9"
"70","1995","M03","March","7.8"
"71","1995","M02","February","7.7"
"72","1995","M01","January","7.7"
"73","1994","M12","December","7.8"
"74","1994","M11","November","7.9"
"75","1994","M10","October","8.1"
"76","1994","M09","September","8.3"
"77","1994","M08","August","8.5"
"78","1994","M07","July","8.6"
"79","1994","M06","June","8.7"
"80","1994","M05","May","8.9"
"81","1994","M04","April","9.0"
"82","1994","M03","March","9.1"
"83","1994","M02","February","9.2"
"84","1994","M01","January","9.2"
"85","1993","M12","December","9.3"
"86","1993","M11","November","9.3"
"87","1993","M10","October","9.3"
"88","1993","M09","September","9.4"
"89","1993","M08","August","9.5"
"90","1993","M07","July","9.6"
"91","1993","M06","June","9.6"
"92","1993","M05","May","9.7"
"93","1993","M04","April","9.7"
"94","1993","M03","March","9.8"
"95","1993","M02","February","9.8"
"96","1993","M01","January","9.8"
"97","1992","M12","December","9.8"
"98","1992","M11","November","9.8"
"99","1992","M10","October","9.8"
"100","1992","M09","September","9.7"
"101","1992","M08","August","9.6"
"102","1992","M07","July","9.5"
"103","1992","M06","June","9.4"
"104","1992","M05","May","9.3"
"105","1992","M04","April","9.1"
"106","1992","M03","March","9.0"
"107","1992","M02","February","8.8"
"108","1992","M01","January","8.6"
"109","1991","M12","December","8.4"
"110","1991","M11","November","8.1"
"111","1991","M10","October","8.0"
"112","1991","M09","September","7.8"
"113","1991","M08","August","7.8"
"114","1991","M07","July","7.8"
"115","1991","M06","June","7.8"
"116","1991","M05","May","7.8"
"117","1991","M04","April","7.7"
"118","1991","M03","March","7.6"
"119","1991","M02","February","7.4"
"120","1991","M01","January","7.2"
"121","1990","M12","December","6.9"
"122","1990","M11","November","6.6"
"123","1990","M10","October","6.3"
"124","1990","M09","September","6.1"
"125","1990","M08","August","5.8"
"126","1990","M07","July","5.6"
"127","1990","M06","June","5.5"
"128","1990","M05","May","5.4"
"129","1990","M04","April","5.3"
"130","1990","M03","March","5.2"
"131","1990","M02","February","5.2"
"132","1990","M01","January","5.2"
"133","1989","M12","December","5.2"
"134","1989","M11","November","5.2"
"135","1989","M10","October","5.2"
"136","1989","M09","September","5.2"
"137","1989","M08","August","5.2"
"138","1989","M07","July","5.2"
"139","1989","M06","June","5.2"
"140","1989","M05","May","5.1"
"141","1989","M04","April","5.1"
"142","1989","M03","March","5.0"
"143","1989","M02","February","5.0"
"144","1989","M01","January","5.0"
"145","1988","M12","December","5.1"
"146","1988","M11","November","5.1"
"147","1988","M10","October","5.2"
"148","1988","M09","September","5.3"
"149","1988","M08","August","5.3"
"150","1988","M07","July","5.3"
"151","1988","M06","June","5.3"
"152","1988","M05","May","5.3"
"153","1988","M04","April","5.3"
"154","1988","M03","March","5.3"
"155","1988","M02","February","5.3"
"156","1988","M01","January","5.4"
"157","1987","M12","December","5.4"
"158","1987","M11","November","5.5"
"159","1987","M10","October","5.5"
"160","1987","M09","September","5.6"
"161","1987","M08","August","5.6"
"162","1987","M07","July","5.7"
"163","1987","M06","June","5.8"
"164","1987","M05","May","5.9"
"165","1987","M04","April","6.0"
"166","1987","M03","March","6.2"
"167","1987","M02","February","6.3"
"168","1987","M01","January","6.4"
"169","1986","M12","December","6.5"
