Year,Month,CCPIU,Change PY
2014,October,247.481,0.02
2014,Sept.,,
2014,August,247.259,0.022
2014,July,,
2014,June,247.228,0.022
2014,May,,
2014,Apr,245.9,0.019
2014,Mar,,
2014,Feb.,244.037,0.012
2014,Jan.,,
2013,Annual,241.623,0.015
2013,Dec. ,241.526,0.016
2013,Nov. ,,
2013,Oct.,242.633,0.005
2013,Sep.,,
2013,August ,241.967,0.012
2013,July,,
2013,June,241.926,0.017
2013,May,,
2013,Apr,241.399,0.014
2013,Mar,,
2013,Feb.,241.242,0.023
2013,Jan.,,
2012,Annual,238.155,0.022
2012,Dec.,237.705,0.02
2012,Nov.,,
2012,Oct.,241.537,0.036
2012,Sep.,,
2012,August,239.034,0.025
2012,July,,
2012,June,237.781,0.019
2012,May,,
2012,Apr.,238.09,0.017
2012,Mar.,,
2012,Feb.,235.828,0.024
2012,Jan.,,
2011,Annual,232.93,0.026
2011,Dec.,232.985,0.024
2011,Nov.,,
2011,Oct.,234.317,0.029
2011,Sep.,,
2011,Aug.,233.256,0.026
2011,July,,
2011,June,233.285,0.027
2011,May,,
2011,Apr.,234.112864,0.031
2011,Mar.,,
2011,Feb.,230.338,0.021
2011,Jan.,,
2010,Annual,226.919,0.013
2010,Dec.,227.487,0.014
2010,Nov.,,
2010,Oct.,227.737,0.008
2010,Sep.,,
2010,Aug.,227.401,0.009
2010,Jul.,,
2010,Jun.,227.113,0.009
2010,May,,
2010,Apr.,227.007,0.018
2010,Mar.,,
2010,Feb.,225.626,0.016
2010,Jan.,,
2009,Annual,224.11,-0.003
2009,Dec.,224.349,0.021
2009,Nov.,,
2009,Oct.,226.035,-0.002
2009,Sep.,,
2009,Aug.,225.438,-0.011
2009,Jul.,,
2009,Jun.,224.994,-0.015
2009,May,,
2009,Apr.,222.896,-0.006
2009,Mar.,,
2009,Feb.,222.181,0.004
2009,Jan.,,
2008,Annual,224.807,0.034
2008,Dec.,219.775,0.001
2008,Nov.,,
2008,Oct.,226.572,0.035
2008,Sep.,,
2008,Aug.,228.024,0.048
2008,Jul.,,
2008,Jun.,228.324,0.05
2008,May,,
2008,Apr.,224.323,0.03
2008,Mar.,,
